,processed_problem,processed_action
2692,all rocker covers on l/h engine leaking,removed replaced rocker cover gaskets on all cylinders
2693,l/h engine carburetor air box appears to have been on fire,upon further insp found fire damage to carburetor air valve
2694,4 rocker cover gasket leaking,removed replaced rocker cover gasket
2695,air intake tubing torn,removed replaced air intake tube
2696,baffling support bracket broken on cylinder 2,fabricated new baffle support bracket on 2 cylinder
2697,front r/h engine baffling rivets sheared,removed replaced rivets on front r/h engine baffling
2698,r/h side engine baffling conection wire broken,installed new connection wire to r/h engine baffling on bo
2699,crack in baffling top r/h side of engine next to engine mount bo,stop drilled crack in r/h side engine baffling next to
2700,crack in front of l/h side of engine baffling in front of 2 c,stop drilled crack on l/h side engine baffling in front of
2701,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
2702,start assist,started a/c using normal procedures
2703,cylinder 4 intake gasket leaking,removed replaced intake gasket
2704,rocker cover gaskets cylinder 1 3 4 leaking,removed replaced rocker cover gaskets
2705,baffling support bracket on cylinder 2 cracked,removed replaced support bracket
2706,overspeed engine 2840 rpm over reved engine for 1 second,downloaded data from fdm card highest rpm found was 28
2707,r/h 2 3 rocker gasket leaking,removed replaced gaskets
2708,l/h 2 3 rocker gaskets leaking,removed replaced gaskets
2709,r/h 3 intake gasket leaking,removed replaced r/h 3 intake gasket
2710,l/h intake gasket 2 leaking,removed replaced l/h 2 intake gasket
2711,cylinder 1 3 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2712,a/c fails mixture override check,ran a/c mixture idle checks good
2713,4 rocker cover gasket leaking,removed replaced 4 rocker cover gasket
2714,sniffler valves dirty,cleaned valves
2715,r/h engine 2 intake leaking,replaced gasket
2716,cylinder 3 intake gasket leaking,removed replaced gasket
2717,cylinder 4 rocker cover gasket leaking,removed replaced 4 cylinder rocker cover gasket
2718,3 intake leaking,removed replaced intake gasket
2719,3 rocker cover leaking,removed replaced rocker cover gasket
2720,r/h engine oil leak at filter housing after run up,replaced cover oring ran leak cked ok
2721,r/h engine r/h exciter lead chafed on oil pressure tube,cleaned small scratch in pressure tube repositioned cl
2722,inter cylinder baffle cracked between 1 3 cylinders,removed replaced baffle
2723,2 4 intakes leaking,removed replaced gaskets
2724,2 3 rocker covers leaking,removed replaced gaskets
2725,2 intake leaking,removed replaced intake gasket
2726,1 rocker cover leaking,removed replaced rocker cover gasket
2727,4 intake gasket leaking,replaced intake gasket
2728,3 intake gasket leaking intake tube leaking at sump,replaced gasket reswedged intake tube
2729,4 cylinder has low compression,ran a/c compression check still low
2730,4 cylinder has low compression,removed rocker cover tried stacking exhaust valve pr
2731,4 cylinder has low compression,began disassembly of 4 cylinder removed intake exhaust t
2732,4 cylinder has low compression,completed removal of cylinder removed replaced exhaust va
2733,4 cylinder has low compression,reinstalled lifters rockers rocker shaft push rod t
2734,4 cylinder has low compression,installed 4 aft baffle new interconnecting rods inst
2735,torn grommet top engine baffle aft middle small grommet,removed replaced small grommet
2736,cylinder 4 intake gasket leaking,removed replaced gasket w/ new
2737,2 4 intake gaskets leaking,replaced gaskets leak check good
2738,2 rocker cover gasket leaking,replaced 2 rocker cover gasket leak check good
2739,l/h side baffle hole worn too large for baffle plug,installed patch on 4 side baffle
2740,cylinder 2 intake gasket leaking,removed replaced intake gasket
2741,rocker cover gasket cylinder 1 leaking,removed replaced rocker cover gaskets
2742,baffle support rod cylinder 2 4 broken,removed replaced baffle support fastener
2743,1 2 4 rocker covers leaking,removed replaced rocker cover gaskets
2744,baffle cracked above 1 cylinder,stop drilled crack installed patch around cracked
2745,2 rocker cover leaking,removed replaced rocker cover gasket
2746,1 intake leaking,removed replaced 1 cylinder intake gasket
2747,3 rocker cover leaking,removed replaced 3 rocker cover gasket
2748,1 2 3 rocker covers leaking,removed replaced rocker cover gaskets
2749,2 rocker gasket leaking,replaced gasket
2750,cylinder 4 intake gasket leaking,removed replaced cylinder 4 intake gasket
2751,cylinder 1 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2752,1 2 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2753,2 intake leaking,removed replaced intake gaskets
2754,4 intake gasket leaks,removed replaced 4 cylinder intake gasket
2755,3 rocker cover gasket leaks,removed replaced 3 cylinder rocker cover gasket
2756,2 3 4 intake gaskets leaking,replaced gaskets
2757,baffle plugs have many missing fingers,installed 2 new baffle plugs
2758,engine overspeed 3275 rpm,inspected per lycoming less than 5 no defect
2759,left right baffle plugs worn,removed replaced baffle plug
2760,3 rocker cover gasket leaking,removed replaced rocker cover gasket
2761,r/h l/h front baffle seal needs to be secured,secured r/h l/h front baffle seal
2762,1 3 4 valve cover gaskets leaking,removed replaced 1 3 4 valve cover gaskets
2763,rocker cover gaskets cylinder 2 3 leaking,removed replaced 2 3 rocker cover gaskets
2764,start assist,started a/c using normal procedures
2765,3 2 4 rocker cover gaskets leaking,removed replaced 2 3 4 cylinder rocker cover gaskets
2766,cylinder 1 intake leaking intake tube also leaking at attachmen,leak check good
2767,cylinder 2 3 rocker cover gaskets leaking,removed replaced cylinder 2 3 rocker cover gaskets
2768,cylinder 1 intake leaking intake tube also leaking at attachmen,removed replaced cylinder 1 intake gasket swedged cylinder 1
2769,3 2 rocker covers leaking,tightened screws
2770,3 intake leaking,removed replaced 3 cylinder intake gasket
2771,r/h front top engine baffle rubber seal not attached,reattached r/h top engine rubber baffle seal
2772,3 rocker cover gasket leaking,removed replaced gasket
2773,r/h baffle plug needs patch,applied high temperature silicone in place of baffle patch
2774,2 3 4 rocker cover screws loose on r/h engine,tightened all screws on 2 3 4 rocker covers
2775,hardware missing on 4 rocker cover l/h engine,replaced missing screw on l/h engine 4 rocker cover
2776,screw missing on r/h engine 3 cylinder rocker cover,replaced missing screw on 3 cylinder rocker cover r/h engine
2777,particle seperator has grass in it,removed grass from particle seperator
2778,2 rocker gasket leaking,removed replaced rocker cover gasket
2779,4 intake leaking on r/h engine,removed replaced 4 cylinder intake gasket
2780,3 4 rocker covers leaking on r/h engine,removed replaced rocker cover gaskets
2781,idle speed mixture need to be adjusted,adjusted idle speed mixture to w/in normal range operational safety section
2782,cylinder 2 intake gasket leaking,removed replaced 2 cylinder intake gasket
2783,cylinder 2 3 rocker cover gaskets leaking,removed replaced rocker covers
2784,1 2 3 intakes leaking,removed replaced intake gaskets
2785,3 cylinder intake leaking,removed replaced intake gasket
2786,cylinder 2 rocker cover gasket leaking,removed replaced 2 cylinder rocker cover gasket
2787,idle prm low,operational safety section check good
2788,idle prm low,adjusted rpm
2789,r/h baffle spring broken,removed replaced spring
2790,cylinder 4 rocker cover gasket leaking,removed replaced 4 cylinder rocker cover gasket
2791,rivets sheared on aft baffling behind cylinder 3,removed baffle from a/c removed replaced rivets w/ s
2792,cylinder 2 3 rocker cover gasket leaking,removed replaced 2 3 cylinder rocker cover gaskets
2793,2 3 intake gaskets leaking,removed replaced 2 intake gasket
2794,2 3 intake gaskets leaking,removed replaced cylinder 3 intake gasket
2795,2 rocker cover gasket leaking,removed replaced cylinder 2 rocker cover gasket
2796,2 intake bolt hole stripped,repaired bolt hole w/ helicoil kit reinstalled intake
2797,oil cooler flange cracked,stop drilled crack
2798,cylinder 2 4 rocker cover gaskets leaking,removed replaced gaskets
2799,maintenance flight required to perform power check,performed ground run operational safety section check good request maintenance flight fo
2800,cylinder 4 intake gasket leaking,removed replaced intake gasket
2801,4 cylinder rocker cover gasket leaking,removed replaced rocker cover gasket
2802,intake gasket leaking on 3 cylinder l/h engine,removed replaced 3 cylinder intake gasket
2803,l/h engine aft baffling cracked behind cylinder 4,removed replaced cylinder 4 rear baffle
2804,3 intake leaking on r/h engine,removed replaced 3 cylinder intake gasket on r/h engine
2805,l/h engine 1 2 4 rocker cover gaskets leaking,removed replaced 1 2 4 gaskets
2806,1 2 rocker covers leaking on r/h engine,removed replaced 1 2 rocker cover gaskets
2807,3 rocker cover leaking,removed replaced cylinder 3 rocker cover gasket
2808,o/b clamp on 4 cylinder push rod tube loose,removed replaced push rod adel clamp
2809,2 intake gasket leaking,removed replaced intake gasket on 2 cylinder
2810,1 rocker cover gasket leaks,removed replaced rocker cover gasket on 1 cylinder
2811,4 intake leaking,replaced gasket
2812,3 rocker cover leaking,replaced gasket
2813,engine will not make enough power to hover higher that 2,inspected 1 intake tube found to be loose replaced u
2814,3 4 cylinder rocker covers leaking,removed replaced cylinder 3 4 rocker cover gaskets
2815,2 3 rocker cover gaskets leaking,removed replaced 2 3 rocker cover gaskets
2816,4 cylinder baffle plug requires patch,fabricated patch installed on 4 baffle plug hole
2817,2 intake leaking,removed replaced gasket
2818,3 oil drain line has rub mark,removed replaced oil drain line
2819,cylinder 4 intake gasket leaking,removed replaced intake gasket
2820,test flight needed for hover power,cleaned sniffler valves maintenance flight required
2821,cylinder 4 temperature probe loose,removed replaced cylinder head temperature probe
2822,1 4 intakes leaking,removed replaced 1 4 cylinder intake gaskets
2823,4 rocker cover leaking,removed replaced 4 cylinder rocker cover gasket
2824,intake gaskets leaking cylinder 2 3,removed replaced 2 3 cylinder intake gaskets
2825,rocker cover gasket cylinder 3 leaking,removed replaced 3 cylinder rocker cover gasket
2826,noticed vibrations engine roughness also not producing fu,ran a/c magnetos idle rpm idle mixture check good no vibra
2827,l/h engine 3 4 rocker covers leaking,removed replaced l/h gaskets
2828,l/h engine corner bracket on l/h rear baffle cracked,removed replaced bracket
2829,leaking rocker cover gaskets cylinder 3 4 r/h engine,removed replaced rocker gaskets on r/h engine
2830,3 intake leaking,removed replaced 3 cylinder intake gasket
2831,1 rocker cover leaking,removed replaced 1 cylinder rocker cover gasket
2832,front baffle seal on bottom left bottom right sides needs,secured bottom left bottom right sides of front baffl
2833,4 rocker cover leaking,removed replaced gasket
2834,2 cylinder rocker cover gasket leaking,removed replaced 2 cylinder rocker cover gasket
2835,upper right baffle seal needs to be secured,secured upper right baffle seal
2836,2 rocker cover gasket leaking,removed replaced cylinder 2 rocker cover gasket
2837,2 intake has leak,removed replaced intake gasket
2838,2 4 intakes leaking,removed replaced intake gaskets
2839,both oil coolers need to be cleaned,cleaned both oil coolers
2840,2 intake gasket leaking,removed replaced intake gasket
2841,baffle 1 cylinder requires patch,installed patch on 1 cylinder baffle
2842,missing baffle plug r/h side l/h side need replacement,replaced baffle plugs
2843,2 rocker cover gasket needs replacement,removed replaced rocker cover gasket
2844,front baffle seal needs to be secured top left right side,secured front baffle seals
2845,l/h r/h baffle plug holes require patches,after further inspection found plug holes to be ok
2846,1 2 intakes leaking,removed replaced cylinder 1 2 intake gaskets
2847,3 rocker cover leaking,removed replaced cylinder 3 rocker cover gasket
2848,2 intake leaking,removed replaced intake gasket
2849,2 4 rocker covers leaking,removed replaced rocker cover gaskets
2850,2 intake gasket leaking,removed replaced 2 intake gasket
2851,found right baffle seal needs to be secured,secured baffle seal
2852,oil cooler needs to be blown out,blew out oil cooler
2853,2 rocker cover gasket leaking,removed replaced rocker cover gasket
2854,all rocker covers leaking,replaced gaskets on all 4 rocker covers
2855,engine oil cooler can be cleaned externally,cleaned engine oil cooler
2856,m/r transmission oil cooler can be cleaned out externally,cleaned m/r transmission oil cooler
2857,3 cylinder intake gasket leaking,removed replaced 3 cylinder intake gasket
2858,2 3 4 cylinder rocker cover gaskets leaking,removed replaced gaskets
2859,3 aft cylinder baffle cracked by oil cooler mount,stop drilled crack on aft cylinder 3 baffle near oil coole
2860,stripped nut on c flange bolt,replaced hardware
2861,stripped nut on c flange bolt,filed off nut removed
2862,1 2 3 4 intakes leaking r/h engine,removed replaced intake gaskets
2863,r/h engine rocker cover gaskets leaking cylinder 1 3,removed replaced rocker cover gaskets
2864,intakes 2 3 4 leaking on l/h engine,removed replaced 2 3 4 intake gaskets on l/h engine
2865,rocker covers 1 2 3 4 leaking on l/h engine,removed replaced 1 2 3 4 rocker cover gaskets on
2866,l/h crankshaft seal seeping,leak check good
2867,r/h engine cylinder 3 4 intake gaskets leaking,replaced gaskets
2868,l/h engine cylinder 3 intake gasket leaking,removed replaced gasket
2869,r/h oil filler tube loose,tightened resafetied oil filler tube
2870,r/h engine cylinder 3 4 rocker cover gaskets leaking,replaced gaskets
2871,l/h crankshaft seal seeping,removed replaced crankshaft oil seal
2872,2 intake gasket leaking l/h engine,removed replaced intake gasket
2873,2 intake gasket leaking r/h engine,removed replaced intake gasket
2874,r/h engine 2 cylinder rocker cover gasket leaking,removed replaced 2 rocker cover gasket
2875,2 3 rocker cover gaskets leaking l/h engine,removed replaced 2 3 rocker cover gaskets
2876,rocker cover gaskets 1 2 3 4 cylinders leaking,removed replaced rocker cover gaskets
2877,2 side baffle seal loose on baffle,resecured baffle seal
2878,3 intake gasket leaking,replaced gasket
2879,4 intake gasket leaking,replaced gasket
2880,forward r/h side baffle l/h aft baffle cracked,installed patches on r/h baffle l/h aft baffle iaw ac
2881,1 cylinder baffling cracked by valve cover,repaired w/ riveted patch
2882,2 3 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2883,baffle support screw by oil tube loose,removed oil filler tube tightened screw reinstalled
2884,intakes 2 4 leaking on r/h engine,removed replaced intake gaskets
2885,l/h carburetor heat valve missing felt,removed replaced l/h carburetor heat valve
2886,intakes 1 2 3 4 leaking on l/h engine,removed replaced intake gaskets
2887,rocker covers 2 3 leaking on l/h engine,removed replaced rocker cover gaskets
2888,rocker covers 1 2 3 4 leaking on r/h engine,removed all r/h rocker cover gaskets replaced
2889,4 rocker cover gasket leaking,replaced gasket
2890,crack in baffling of 1 cylinder by valve cover,stop drilled crack on 1 cylinder baffle
2891,baffle above 1 cylinder requires patch,installed baffle patch
2892,2 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2893,3 intake gasket on l/h engine leaking,removed replaced gasket
2894,rocker cover gasket leaking 3 r/h engine,removed replaced 3 cylinder rocker cover gasket on r/h en
2895,2 3 rocker cover gaskets leaking on l/h engine,removed replaced rocker cover gaskets on 2 3 cylinders
2896,r/h side lower forward oil cooler hose bracket broken,removed replaced bracket
2897,l/h engine back baffle by 4 cylinder cracked,stop drilled crack
2898,r/h engine 1 2 rocker covers leaking,removed replaced r/h engine rocker cover gaskets
2899,2 3 4 rocker covers leaking on l/h engine,removed replaced rocker cover gaskets l/h engine
2900,2 intake gasket leaking l/h engine,removed replaced intake gasket
2901,2 3 intake gaskets leaking r/h engine,removed replaced intake gaskets
2902,missing screw on 3 rocker cover r/h engine,installed new screw on rocker cover
2903,2 3 4 rocker cover gaskets leaking r/h engine,removed replaced rocker cover gaskets
2904,2 3 4 rocker cover gaskets leaking l/h engine,removed replaced rocker cover gaskets l/h side
2905,l/h engine missing baffle bolt from 3 cylinder,installed new hardware
2906,rocker drain lines all of b nuts loose,tightened all b nuts
2907,intake 2 3 leaking,removed replaced intake gaskets
2908,baffle tie rod broken,replaced tie rod
2909,rocker cover screws loose on l/h engine,tightened screws
2910,l/h engine 2 cylinder has low compression,staked exhaust valve w/ no affect
2911,r/h engnie cylinder 3 2 intake gaskets leaking,removed replaced gaskets
2912,r/h engine cylinder 3 rocker cover gasket leaking,removed replaced rocker cover gasket
2913,l/h engine 2 cylinder has low compression,ran a/c compression check at 14/80 psi continued on pilot drill
2914,lh/ engine 2 cylinder has low compression,finished installation operational safety section check good
2915,l/h engine 2 exhaust rocker was nicked during valve staking,removed replaced rocker arm shaft gasket
2916,lh/ engine 2 cylinder has low compression,replaced exhaust valve fitted valve to cylinder installed
2917,lh/ engine 2 cylinder has low compression,removed 2 cylinder on l/h engine removed exhaust intake tub
2918,both oil coolers need to be cleaned,cleaned both oil coolers
2919,1 cylinder compression low,staked exhaust valve compression checks 70/80 replace
2920,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
2921,aft l/h baffle cracked,fabricated patch from like material riveted iaw
2922,4 cylinder aft baffle cracked,stop drilled crack
2923,small crack on oil cooler o/b forward,stop drilled
2924,oil tube drain lines for cylinders loose,tightened b nuts
2925,2 rocker arm cover leaking,replaced gasket
2926,baffle seal forward of 2 cylinder loose,secured baffle seal
2927,3 4 intakes leaking,removed replaced 3 4 intake gaskets
2928,2 rocker cover leaks r/h engine,replaced gasket
2929,3 cylinder zero compression on l/h engine,ran a/c leak cked good
2930,3 cylinder zero compression on l/h engine,tried staking exhaust valve test still failed seems t
2931,3 cylinder zero compression on l/h engine,installed valve train dry tappet clearance cked ok i
2932,3 cylinder zero compression on l/h engine,removed cylinder replaced ground exhaust valve ground in
2933,1 rocker cover leaking on r/h engine,replaced gasket
2934,2 intake gasket leaking on r/h engine,replaced gasket
2935,3 cylinder baffling on l/h engine cracked on aft side,stop drilled crack
2936,2 3 4 rocker cover gaskets leaking on r/h engine,replaced rocker gaskets
2937,2 3 rocker gaskets leaking on l/h engine,removed replaced rocker cover gaskets
2938,2 3 intake gaskets leaking on l/h engine,removed replaced 2 3 cylinder intake gaskets on l/h engine
2939,4 cylinder baffling on l/h engine cracked on angle brackets,stop drilled cracks replaced angle brackets w/ like m
2940,4 cylinder on l/h engine has low compression leaking from exhaust,staked valves on 4 cylinder of l/h engine observed no change
2941,4 cylinder on l/h engine has low compression leaking from exhaust,removed 4 cylinder replaced exhaust valve ground seat g
2942,4 cylinder on l/h engine has low compression leaking from exhaust,reinstalled aft muffler assembly carburetor heat box ran engine
2943,3 intake leaking,removed replaced intake gasket
2944,2 intake leaking,removed replaced 2 cylinder intake gasket
2945,cylinder 3 had low compression 50/80,staked valve compression cked good 72
2946,bottom rivet head sheared off on engine baffle r/h side i/,removed engine baffle r/h aft removed replaced shea
2947,push rod tube bent,installed serviceable push rodd tube on engine
2948,push rod tube bent,removed push rod tube from core engine cleaned inspe
2949,2 cylinder rocker cover gasket leaking,removed replaced 2 cylinder rocker cover gasket
2950,noted excessive vibration rough running engine upon post,removed replaced 2 cylinder assembly torqued cylinder to case in
2951,auto reign does not activate w/ low n2 conditions,could not duplicate discrep operational safety section check good
2952,2 3 intakes leaking on l/h engine,removed replaced cylinder 2 3 intake gaskets on l/h engi
2953,oil cooler lower baffle seal missing,sealed area w/ rtv
2954,1 rocker cover gasket leaking,replaced rocker cover gasket
2955,forward engine baffle worn thru,fabricated new baffle piece of like material installe
2956,on a/c run up l/h prop tip was damaged,completed reassembly of engine washed engine
2957,on a/c run up l/h prop tip was damaged,removed accessory case performed lycoming
2958,on a/c run up l/h prop tip was damaged,engine run leak check good adjusted prop low pitch stop
2959,cylinder 2 intake gasket leaking,removed replaced intake gasket
2960,cylinder 2 rocker cover gasket leaking,removed replaced rocker cover gasket
2961,r/h engine baffle between 2 4 cylinder req rework,resecured baffle seal
2962,l/h 2 4 intake gaskets leaking,replaced both gaskets leak check good
2963,upper baffle hole plugs aer worn,removed replaced both baffle plugs
2964,1 rocker cover leaking,removed replaced 1 cylinder rocker cover gasket
2965,1 cylinder has low compression,removed rocker cover staked valves noting compression
2966,1 cylinder has low compression,performed engine run performed compression check on 1 n
2967,2 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
2968,baffle cracked past stop drill 4 cylinder,fabricated patch stop drilled crack installed patch
2969,baffle plug hole requires patch 3 cylinder,fabricated installed baffle plug patch replaced baff
2970,3 rocker cover leaking oil,removed replaced 3 rocker cover gasket
2971,hardware missing on 3 rocker cover,installed new hardware
2972,2 intake gasket leaking,replaced gasket
2973,3 4 rocker covers leaking,removed replaced 3 4 rocker gaskets
2974,1 cylinder engine baffle cracked,stop drilled crack
2975,3 aft baffle tab loose,started removing r/h aft engine baffle
2976,4 intake tube gasket leaking,installed new 4 intake tube gasket
2977,3 aft baffle tab loose,installed new screws nuts on baffle tab reinstalled
2978,3 4 rocker box cover gaskets leaking,installed new rocker box cover gaskets
2979,upper engine cowl needs chafe tape,installed chafe tape as required
2980,l/h baffle button plug needs to be replaced,installed new baffle plug
2981,2 4 rocker cover gaskets leaking,removed replaced rocker gaskets
2982,forward lower r/h baffle seal needs replacement,installed new section of baffle material
2983,r/h engine 2 3 4 cylinder rocker cover gaskets leaking,removed replaced rocker cover gaskets
2984,2 intake leaking,removed replaced intake gasket
2985,2 3 rocker covers leaking,removed replaced 2 3 cylinder rocker cover gaskets
2986,2 4 intercylinder baffle connecting rod broken,removed replaced baffle connecting rod
2987,lower clamps loose on r/h engine 4 intake,resecured clamps
2988,4 intake leaking on l/h engine,removed replaced intake gaskets
2989,2 3 rocker covers leaking on l/h engine,removed replaced rocker cover gaskets
2990,oil filler tube loose,tightened oil filler tube
2991,forward l/h baffle needs to be secured,secured baffle
2992,4 intake leaking,removed replaced 4 cylinder intake gasket
2993,forward adel clamp on 3 cylinder loose rubbing on push rod tube,removed replaced forward adel clamp on 3 cylinder push rod tu
2994,2 intake leaking,removed replaced gasket
2995,4 rocker cover gasket leaking,removed replaced 4 rocker cover gasket
2996,l/h engine 2 cylinder intake gasket leaking,replaced gasket
2997,r/h engine 3 cylinder rocker cover missing a screw,replaced screw
2998,2 cylinder intake leaking,removed replaced gasket
2999,2 cylinder rocker cover gasket leaking,removed replaced gasket
3000,upper cowling needs small piece of chafe tape,installed tape
3001,l/h upper engine baffling on engine worn seal support,secured seal
3002,between 2 4 cylders spiral wrap melted,removed plastic recontoured line out of way
3003,2 cylinder rocker cover leaking,removed replaced rocker cover gasket
3004,3 cylinder rocker cover bottom screw needs swapped w/ aft baffle,swapped screws
3005,2 3 rocker cover gaskets leaking,removed replaced gaskets
3006,3 cylinder baffling missing spark plug access plug,installed new spark plug access plug
3007,crack noted on top of 2 cylinder baffling,crack previously stop drilled no further defects noted
3008,r/h engine forward baffle loose,reattached baffle
3009,3 aft baffle cracked,installed patch made of like material
3010,2 intake gasket leaking,removed replaced gasket
3011,3 4 rocker cover gaskets leaking,removed replaced gaskets
3012,2 rocker cover gasket leaking,leak check good
3013,2 rocker cover gasket leaking,removed replaced 2 cylinder rocker cover gasket
3014,oil cooler requires time change,operational safety section leak check good
3015,oil cooler requires time change,removed replaced oil cooler
3016,engine requires time change,installed exhaust system connected electrical wiring
3017,engine requires time change,disconnected battery ground removed exhaust system direction indicator
3018,engine requires time change,installed built up engine on mount tor
3019,engine requires time change,finished installing starter vacuum pump alternator w
3020,engine requires time change,removed baffling oil line quick drain from core engi
3021,2 intake leaking,removed replaced intake gasket
3022,on run up idle rpm was at 720,adjusted idle speed
3023,on run up idle rpm was at 720,run up idle check good
3024,cylinder 3 rocker cover gasket leaking,removed replaced cylinder 3 rocker cover gasket
3025,3 intake gasket leaking,removed replacd 3 cylinder intake gasket
3026,2 intake gasket leaking,removed replaced 2 cylinder intake gasket
3027,2 cylinder rocker cover gasket leaking,removed replaced gasket
3028,4 intake leaking,replaced gasket
3029,engine rpm would fluctuate 200 250 rpm hover ran rough,ran up a/c no defects noted
3030,both baffle plugs worn,removed replaced baffle plugs
3031,4 intake gasket leaking,replaced gasket
3032,r/h baffle plug missing fingers,installed new plug
3033,4 rocker cover gasket leaking,removed replaced gasket
3034,4 intake leaking,removed replaced gasket
3035,3 4 intake gaskets leaking,removed replaced intake gaskets
3036,2 rocker cover gasket leaking,removed replaced rocker cover gasket
3037,crack noted on inside of 2 cylinder baffling near rivet,stop drilled crack
3038,cylinder 2 compression low air noted observed out of exhaust,performed compression on 2 cylinder after run noted 70/80
3039,cylinder 2 compression low air noted observed out of exhaust,performed run up after warming up engine noted no def
3040,cylinder 2 compression low air noted observed out of exhaust,staked exhaust intake valves noting no improvement in
3041,2 3 rocker covers leaking,removed replaced gaskets
3042,2 rocker cover leaking,removed replaced cylinder 2 rocker cover gasket
3043,engine overspeed 2750 2760 rpm for 34 seconds,researched fdm card data found max rpm of 27398 whic
3044,3 4 rocker cover gaskets leaking,removed replaced 3 4 cylinder rocker cover gaskets
3045,4 intake gasket leaking,removed replaced gasket
3046,sniffler valve dirty,cleaned sniffler valves
3047,2 4 rocker cover gaskets leaking,replaced 2 4 rocker cover gaskets
3048,2 3 4 rocker gaskets leaking,replaced gaskets leak check good
3049,2 intake leaking,removed replaced intake gasket
3050,cylinder 4 rocker cover gasket leaking,removed replaced 4 rocker cover gasket
3051,4 intake leaking cylinder 3 intake leaking cylinder 2 intake l,removed replaced 2 3 4 intake gaskets
3052,crack noted on lower rear position of 4 cylinder baffle,stop drilled crack no other defects noted this time
3053,crack noted on inside of 1 cylinder upper baffle near rivet,stop drilled both ends of crack no further defects not
3054,all rocker cover screws loose,tightened all covers
3055,all cylinder drain line b nuts loose,tightened all b nuts
3056,spring wire for i/b l/h side engine broken,replaced spring wire
3057,both baffle plugs worn,removed replaced baffle plugs
3058,2 4 rocker covers leaking,replaced gaskets
3059,baffle plugs worn,replaced w/ new ones
3060,2 intake leaking,removed replaced gasket
3061,3 intake leaking,removed replaced 3 cylinder intake gasket
3062,4 induction tube gasket leaking,installed new 4 induction tube gasket
3063,engine r/h rear baffle support bracket loose,removed r/h rear baffle installed new screws nuts r
3064,bottom r/h baffle tie down unsecured from baffle,installed new tie rod
3065,r/h fuel top engine baffle seal needs to be secured,resecured baffle seal
3066,2 3 intake gasket leaking,removed replaced intake gaskets
3067,2 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
3068,1 cylinder baffle crack noted by cylinder head screw plate,stop drilled crack installed doubler plate to 1 cylinder
3069,4 intake leaking,replaced gasket
3070,lower baffling seal chafing air filter box cam lock nutpl,installed rtv in areas
3071,small foreign object damage on top of 3 cylinder,removed foreign object damage on top of no 3 cylinder
3072,2 4 intake gaskets leaking,removed replaced 2 4 cylinder intake gaskets
3073,r/h engine foam seal loose on bulkhead behind engine inlet,resecured r/h engine foam seal
3074,l/h rear engine baffle access hole worn,install access hole doubler iaw
3075,4 intake gasket leaking,removed replaced intake gasket
3076,3 rocker cover gasket leaking,removed replaced 3 cylinder rocker cover gasket
3077,oil present on engine r/h side oil sprayed below aft,found 4 rocker cover gasket leaking removed replace
3078,on taxi engine ran rough from 800 to 1400 rpm leaning mixture,ran up a/c leaned out to clean plugs operational safety section check ok
3079,4 cylinder intake leaks,replaced gasket
3080,front baffle seal worn by engine inlet edges,installed rtv in worn areas
3081,1 2 3 4 oil return lines leaking,tightened oil return line clamps
3082,3 intake leaking,removed replaced intake gasket
3083,2 rocker cover leaking,removed replaced 2 rocker gasket
3084,1 rocker gasket leaking,replaced w/ new gasket leak check good
3085,1 intake gasket leaking,replaced w/ new gasket leak check good
3086,2 4 intakes leaking,removed replaced intake gaskets
3087,2 3 4 intake gaskets leaking,removed replaced intake gaskets
3088,2 4 rocker covers missing hardware,installed screws onto rocker covers
3089,crack noted on inside of 1 cylinder baffle by screw plate,stop drilled crack
3090,1 2 rocker cover gaskets leaking,removed replaced rocker cover gaskets
3091,crack noted on engine baffle near aft alternator attach bolt,stop drilled crack
3092,l/h side cowl seal coming loose,resecured cowl seal
3093,3 4 intake gaskets leaking,replaced both gaskets leak check good
3094,all rocker gaskets leaking,replaced all rocker gaskets leak check good
3095,4 intake gasket leaking,removed replaced intake gasket
3096,3 cylinder intake gasket leaking,removed replaced gasket
3097,2 4 cylinder intake gaskets leaking,replaced gaskets
3098,vacuum pump cooling duct chafing oil cooler line,no damaged noted applied silicone as buffer
3099,3 aft baffle cracked on r/h engine,stop drilled crack
3100,r/h engine 2 3 intakes leaking,removed replaced intake gaskets
3101,l/h engine 2 3 4 intakes leaking,removed replaced intakes gaskets
3102,r/h engine 4 2 3 rocker covers leaking,removed replaced rocker cover gaskets
3103,intake gasket cylinder 2 leaking,removed replaced intake gasket
3104,during take off roll advanced throttle to full power rpm w,ran up a/c unable to duplicate discrepancy operational safety section check ok
3105,forward baffle seals have worn spots,no damaged noted applied silicone to seal as buffer
3106,r/h engine 4 intake gasket leaking,removed replaced intake gasket
3107,2 4 intakes leaking on l/h engine,removed replaced intake gaskets
3108,r/h 4 rocker gasket leaking,removed replaced rocker cover gasket
3109,4 rocker cover leaking on l/h engine,removed replaced rocker cover gasket
